episode,total_reward,steps,epsilon,loss,td_mean,td_std,td_min,td_max
0,-76.27136491885226,1000,0.995,31.928308486938477,6.18907947476638,2.859013770838628,0.015108704566955566,17.01524543762207
1,-80.14020058532297,1000,0.990025,35.311920166015625,6.3185167677674325,2.730189155955587,0.008325552567839622,15.17672348022461
2,-115.25867205721968,1000,0.985074875,43.30296325683594,6.29864319625264,2.747633227877288,0.0168800950050354,17.157928466796875
3,-29.443999647918496,1000,0.9801495006250001,54.044668197631836,6.20497227633954,2.7079208652399753,0.009136706590652466,15.990888595581055
4,238.02514036302588,1000,0.9752487531218751,43.32882308959961,6.271368000452523,2.7529316683480904,0.019369423389434814,18.614349365234375
5,136.2024969384975,1000,0.9703725093562657,40.704593658447266,6.2830858918901065,2.731681486041658,0.024118073284626007,16.19394874572754
6,42.23593128519951,1000,0.9655206468094844,44.94160270690918,6.291002465993632,2.719610200977733,0.016378343105316162,14.862386703491211
7,-231.05646501482312,1000,0.960693043575437,26.91629695892334,6.245898372462019,2.7002035903126425,0.016599535942077637,14.593502044677734
8,-77.19137312618476,1000,0.9558895783575597,38.215864181518555,6.2451757642384615,2.7114087339489608,0.0076236724853515625,14.781306266784668
9,-417.9976118733532,1000,0.9511101304657719,41.63715744018555,6.200896182161989,2.7254187089006106,0.01578199863433838,15.009220123291016
10,238.79051993518547,1000,0.946354579813443,35.99879264831543,6.212255944009405,2.6979163108098176,0.03222137689590454,14.98015022277832
11,105.00666957341284,1000,0.9416228069143757,48.342010498046875,6.225794480570126,2.7349866199356088,0.008970260620117188,15.081502914428711
12,-179.64645635086117,1000,0.9369146928798039,37.641944885253906,6.234868798908312,2.746030637331296,0.03062880039215088,15.069889068603516
13,38.625664918172625,1000,0.9322301194154049,55.97829246520996,6.244922904547304,2.7550622181625513,0.01539003849029541,15.033679008483887
14,-99.72688729651752,1000,0.9275689688183278,52.34405326843262,6.26045307030622,2.7606034171319367,0.037504881620407104,18.244094848632812
15,184.06278763158917,1000,0.9229311239742362,41.277456283569336,6.268794314062223,2.759589204679652,0.023705601692199707,14.600361824035645
16,-281.31378952605627,1000,0.918316468354365,44.096527099609375,6.286848393737339,2.7487360365413056,0.006721138954162598,15.845052719116211
17,46.82657786139012,1000,0.9137248860125932,37.600040435791016,6.2663556030639445,2.763889048273717,0.007487893104553223,14.560636520385742
18,257.4914503817853,1000,0.9091562615825302,45.778432846069336,6.251165480700322,2.768187515628909,0.015105783939361572,14.267943382263184
19,225.01102963586226,1000,0.9046104802746175,39.1737003326416,6.209732410431374,2.7678956503471386,0.014124274253845215,14.414824485778809
20,-242.28878277065874,1000,0.9000874278732445,38.062286376953125,6.292836864998564,2.7617597230388737,0.00842660665512085,14.461645126342773
21,-307.02679427532877,1000,0.8955869907338783,48.23216247558594,6.262629518907051,2.758585778097773,0.01853466033935547,16.379940032958984
22,107.29003852639391,1000,0.8911090557802088,41.063377380371094,6.275614798368886,2.7490826357763973,0.03119969367980957,15.96158218383789
23,244.32969729932805,1000,0.8866535105013078,38.8851432800293,6.271888556949794,2.7632323684743203,0.031073391437530518,16.576000213623047
24,173.1163537424648,1000,0.8822202429488013,39.06657600402832,6.2879086996321565,2.7587628636199835,0.015031814575195312,16.007356643676758
25,5.384501568771778,1000,0.8778091417340573,38.57276153564453,6.291290453008376,2.769087108388787,0.028759658336639404,17.256746292114258
26,-88.62758174950264,1000,0.8734200960253871,45.011539459228516,6.271005198715953,2.7606193049820775,0.0007892251014709473,19.23521614074707
27,-262.4779273330648,1000,0.8690529955452602,41.21636772155762,6.257666590521578,2.7453505981164077,0.03929305076599121,17.06889533996582
28,-154.3545376848067,1000,0.8647077305675338,36.925697326660156,6.308661135361064,2.7728733340852325,0.04028725624084473,16.814693450927734
29,-214.60135062275728,1000,0.8603841919146962,45.47163009643555,6.289054770968854,2.780190370210766,0.01183241605758667,16.139638900756836
30,213.53184559163714,1000,0.8560822709551227,49.11188316345215,6.289792672307231,2.777205773049246,0.02115023136138916,17.881839752197266
31,-98.85363486094438,1000,0.851801859600347,36.58309745788574,6.331559697754216,2.8113432135846965,0.00857555866241455,16.921180725097656
32,-108.38926050119746,1000,0.8475428503023453,50.52669906616211,6.2922011890495195,2.7866298074855442,0.029295235872268677,16.853689193725586
33,-391.5704377169394,1000,0.8433051360508336,36.484352111816406,6.252924718851224,2.7693906600845284,0.02211153507232666,15.328058242797852
34,51.576230781772765,1000,0.8390886103705794,42.46675682067871,6.290270193583332,2.8222082195999687,0.040921568870544434,16.852149963378906
