episode,total_reward,steps,epsilon,loss,td_mean,td_std,td_min,td_max
0,-453.88511008099323,1000,0.995,36.645267486572266,6.347276097807987,3.287391896016903,0.016548633575439453,22.45067024230957
1,2.4646538058277976,1000,0.990025,45.13581085205078,6.334950052321423,2.9521468711166254,0.016409873962402344,15.409244537353516
2,-25.98898627749776,1000,0.985074875,39.61629104614258,6.334998019751627,2.9418380810943274,0.02086496353149414,19.840362548828125
3,27.721151634782967,1000,0.9801495006250001,28.221250534057617,6.349010677449405,2.958405346067626,0.01659536361694336,19.663190841674805
4,-192.80732955449278,1000,0.9752487531218751,54.96490478515625,6.333894601215609,2.930804332631026,0.020787715911865234,16.86589813232422
5,-73.99773518671134,1000,0.9703725093562657,41.82234001159668,6.327765315781347,2.898412879738804,0.029617667198181152,17.04821014404297
6,-129.63402370054388,1000,0.9655206468094844,54.78719902038574,6.326122026826255,2.894294475376826,0.0039910078048706055,17.237585067749023
7,-80.6253436382408,1000,0.960693043575437,49.018795013427734,6.27936382788606,2.8727572794214886,0.027179718017578125,17.125228881835938
8,-209.91355079572904,1000,0.9558895783575597,56.111982345581055,6.265641991596669,2.8826527286895227,0.01122748851776123,19.471641540527344
9,-30.780504036776204,1000,0.9511101304657719,42.33901405334473,6.2465881835939365,2.866255406635391,0.006408214569091797,18.516429901123047
10,-44.832522592363965,1000,0.946354579813443,44.91773223876953,6.253140751904808,2.8729674385682253,0.012292027473449707,18.631282806396484
11,5.660491683649333,1000,0.9416228069143757,37.563364028930664,6.25754648547899,2.887234371416046,0.04224658012390137,19.41413116455078
12,-28.13067499273984,1000,0.9369146928798039,35.308467864990234,6.245751740681939,2.879326985307159,0.020299196243286133,20.16560935974121
13,173.67544868742144,1000,0.9322301194154049,49.355125427246094,6.272414608676918,2.8547580314149794,0.018661022186279297,18.348560333251953
14,74.5588212154649,1000,0.9275689688183278,28.301066398620605,6.308074126717634,2.8979337860701224,0.01701188087463379,18.277660369873047
15,-263.4219188345798,1000,0.9229311239742362,53.00227355957031,6.373251799832098,2.928969771462154,0.004575014114379883,18.9442195892334
16,-294.5355953749215,1000,0.918316468354365,46.759531021118164,6.381185244970955,2.8467372169558165,0.010940074920654297,17.18729591369629
17,-82.4167947330817,1000,0.9137248860125932,44.77972412109375,6.326256806388497,2.843331237490695,0.017612457275390625,17.030017852783203
18,103.05649358557562,1000,0.9091562615825302,28.62202548980713,6.419493117243983,2.8548982923855415,0.011902093887329102,19.165115356445312
19,-309.89605318993995,1000,0.9046104802746175,47.741464614868164,6.3600623903954405,2.8305751338572276,0.023306608200073242,19.83222198486328
20,-68.67039335133714,1000,0.9000874278732445,48.84900665283203,6.379538100297562,2.840351215617365,0.029700756072998047,18.463144302368164
21,-43.564782981622784,1000,0.8955869907338783,38.80362892150879,6.411118338591419,2.89160144825282,0.015697717666625977,17.62411117553711
22,-259.3725221950226,1000,0.8911090557802088,48.633222579956055,6.404496832437813,2.809858145856758,0.013927936553955078,17.507442474365234
23,31.788277203313584,1000,0.8866535105013078,56.44918251037598,6.436658513036557,2.820558932769453,0.015410423278808594,17.029476165771484
24,281.91753372460136,1000,0.8822202429488013,50.82943344116211,6.380576062597334,2.7811982308166296,0.01847255229949951,17.072654724121094
25,150.71497130428665,1000,0.8778091417340573,38.66717720031738,6.393564873021096,2.8335423701108495,0.016406893730163574,19.11935806274414
26,-166.07365691177378,1000,0.8734200960253871,49.05494499206543,6.348807005013339,2.8127145126747903,0.033476829528808594,21.459930419921875
27,-336.8185156948783,1000,0.8690529955452602,50.09307861328125,6.413936436715536,2.862452902555784,0.013301610946655273,19.670053482055664
28,34.11048693116413,1000,0.8647077305675338,50.21008491516113,6.444326772719622,2.966848961444851,0.00841832160949707,21.255084991455078
29,-42.99302783981857,1000,0.8603841919146962,43.87770462036133,6.476274974371306,2.9623587635224355,0.01529836654663086,20.882808685302734
30,123.79904810690712,1000,0.8560822709551227,51.40976524353027,6.524329143519513,2.969949455158494,0.011445403099060059,20.153759002685547
31,31.62748849755802,1000,0.851801859600347,35.613779067993164,6.479379883272573,2.8719872884168014,0.010170698165893555,19.1864070892334
32,-29.12916295062703,1000,0.8475428503023453,38.959245681762695,6.471614019716158,2.9112084056633,0.027362585067749023,19.240520477294922
33,-127.95302974891807,1000,0.8433051360508336,62.67987632751465,6.49522674418427,2.929165651769028,0.03417181968688965,19.419292449951172
34,275.9379079348398,1000,0.8390886103705794,56.534610748291016,6.518004902084358,2.9597532458765015,0.022820234298706055,19.732223510742188
35,-45.8414834091066,1000,0.8348931673187264,50.78146171569824,6.57023210321553,3.002454023491494,0.035298824310302734,19.638710021972656
36,11.415293753460524,1000,0.8307187014821328,35.30752372741699,6.495809750171378,2.9093401553932514,0.006808161735534668,19.72468376159668
37,263.5166996668865,1000,0.8265651079747222,40.71796798706055,6.478283530975692,2.9258400444293686,0.018527746200561523,19.607036590576172
38,105.10981040667957,1000,0.8224322824348486,33.15362358093262,6.452866584740579,2.8957852418084977,0.019206702709197998,19.320865631103516
39,73.77546488726341,1000,0.8183201210226743,37.545724868774414,6.480905891325325,2.9571870294174656,0.014548301696777344,18.761455535888672
40,-190.98569354632383,1000,0.8142285204175609,45.71443557739258,6.391936155362055,2.828526843979727,0.029178619384765625,18.54054832458496
41,270.07370459627174,1000,0.810157377815473,44.92512893676758,6.348678451213986,2.8063787799334574,0.020066499710083008,17.684900283813477
42,9.697245133154121,1000,0.8061065909263957,33.51735305786133,6.341525132060051,2.8219378592488926,0.04635632038116455,17.853729248046875
43,2.103267987683174,1000,0.8020760579717637,56.20973587036133,6.336240667289123,2.814341757628792,0.02580404281616211,17.502580642700195
44,-65.48491232952219,1000,0.798065677681905,54.19247817993164,6.321896650626324,2.817846318714475,0.014131307601928711,19.01664161682129
45,142.5781787763158,1000,0.7940753492934954,47.84896659851074,6.330739913890138,2.842108331031778,0.038991689682006836,19.304269790649414
46,-363.0143704357817,1000,0.7901049725470279,48.675865173339844,6.336297157181427,2.84967544873096,0.02959585189819336,19.161712646484375
47,-289.8052769942446,1000,0.7861544476842928,40.455787658691406,6.297713524192572,2.8401144245394745,0.01031637191772461,18.64665412902832
48,-205.6812020057342,1000,0.7822236754458713,46.42246055603027,6.362542087752372,2.8690106481734086,0.021987438201904297,18.79484748840332
49,-370.04212811175904,1000,0.778312557068642,49.84101486206055,6.362690169125796,2.837080848136828,0.03355693817138672,18.96668243408203
50,-103.6161077668713,1000,0.7744209942832988,37.52285575866699,6.328869200741872,2.8292958464437437,0.02885568141937256,17.834165573120117
51,10.000490504941949,1000,0.7705488893118823,37.064640045166016,6.27759882869944,2.737128595103568,0.03443026542663574,15.538860321044922
52,110.49564011580438,1000,0.7666961448653229,44.66387939453125,6.288090989683755,2.719319057193528,0.021964669227600098,16.206480026245117
53,325.53626362355874,1000,0.7628626641409962,42.312875747680664,6.285420957159251,2.730906429228525,0.028202056884765625,16.07160758972168
54,-133.25321764593082,1000,0.7590483508202912,41.940752029418945,6.2882542277406905,2.739069663959355,0.028656721115112305,16.36151885986328
55,175.44468973889215,1000,0.7552531090661897,35.490787506103516,6.28532097228244,2.714400418458249,0.040158748626708984,17.518590927124023
56,-422.03125048776417,1000,0.7514768435208588,37.38861846923828,6.296260672839359,2.7471128148436446,0.03212738037109375,17.747344970703125
57,-293.3548603909371,1000,0.7477194593032545,46.868906021118164,6.279769919931889,2.758491561650623,0.031095504760742188,16.65373420715332
58,121.81575628198894,1000,0.7439808620067382,37.94363784790039,6.216683550758288,2.7282503365347854,0.013106346130371094,21.234577178955078
59,-156.65366756791724,1000,0.7402609576967045,48.13937759399414,6.266023230122403,2.7322380664951402,0.03118729591369629,19.077613830566406
60,-202.7531380305741,1000,0.736559652908221,40.6114616394043,6.200196972845122,2.735768219013012,0.005031585693359375,18.277481079101562
61,6.378468316787305,1000,0.7328768546436799,38.15071487426758,6.288487988352776,2.7150459150543975,0.0053822994232177734,17.204784393310547
62,-118.68578845957569,1000,0.7292124703704616,42.39101982116699,6.270209802599624,2.7294354910699874,0.045499324798583984,18.125286102294922
63,-122.70506399240088,1000,0.7255664080186093,41.242374420166016,6.282802224775776,2.7540342262743853,0.009096622467041016,19.20709991455078
64,83.31764671413168,1000,0.7219385759785162,39.95456504821777,6.283039061853662,2.7414405131917348,0.027069091796875,18.32423210144043
65,193.32221582551136,1000,0.7183288830986236,48.32842254638672,6.290423685545102,2.7476327936447804,0.018282413482666016,17.527374267578125
66,-18.72008343030157,1000,0.7147372386831305,41.691091537475586,6.338959447056055,2.7437983688112046,0.022943973541259766,17.556060791015625
67,414.61411977198617,1000,0.7111635524897149,48.689605712890625,6.323038075732067,2.733903324117898,0.04005074501037598,20.12647819519043
68,114.94427810427817,1000,0.7076077347272662,40.0262565612793,6.317072307363152,2.734282060484573,0.016239404678344727,18.310319900512695
69,142.81190909747914,1000,0.7040696960536299,39.6363410949707,6.350831870818511,2.764105462274474,0.0389859676361084,18.164432525634766
70,-265.7114881125761,1000,0.7005493475733617,37.15656852722168,6.341527610030025,2.720203387635642,0.025911569595336914,17.572237014770508
71,-197.4166160365383,1000,0.697046600835495,44.98871612548828,6.317579045221209,2.741352214755847,0.02441716194152832,17.547945022583008
72,-92.11185320066127,1000,0.6935613678313175,39.50027656555176,6.330795034861192,2.7398036725384824,0.03291034698486328,19.34942626953125
73,170.2199222952022,1000,0.6900935609921609,54.57394981384277,6.340208302468062,2.7941440782050404,0.031785011291503906,20.93621826171875
74,-263.1369810506758,1000,0.6866430931872001,38.43752861022949,6.331265689238906,2.778239216957335,0.038702964782714844,17.68781089782715
75,41.58031542430602,1000,0.6832098777212641,37.97982978820801,6.316816746477038,2.7755130909717707,0.022476792335510254,18.298105239868164
