episode,total_reward,steps,epsilon,loss,td_mean,td_std,td_min,td_max
0,-101.94926312844478,1000,0.995,62.896339416503906,6.447086747496901,3.0678521122681714,0.012990027666091919,22.280498504638672
1,-152.20226732820362,1000,0.990025,53.97015190124512,6.198776812722906,2.8029921160587454,0.0039052963256835938,18.86573600769043
2,165.70972621812618,1000,0.985074875,46.385698318481445,6.197313518254086,2.832742287808093,0.014551162719726562,18.78961944580078
3,127.87156690597209,1000,0.9801495006250001,45.13375473022461,6.189086457631551,2.831208650114926,0.024088263511657715,17.420515060424805
4,82.18062418050508,1000,0.9752487531218751,45.46910095214844,6.255798621774651,2.814920736298464,0.020345211029052734,14.763955116271973
5,31.015140271651987,1000,0.9703725093562657,41.99044990539551,6.3251522994618865,2.832639678538183,0.01540231704711914,17.090068817138672
6,211.35254082064793,1000,0.9655206468094844,42.75912666320801,6.309748294183053,2.8174912518384554,0.018439650535583496,14.699124336242676
7,-171.20119278214122,1000,0.960693043575437,49.723527908325195,6.309553130249027,2.8517441217528843,0.011977910995483398,14.570662498474121
8,56.419040616916085,1000,0.9558895783575597,50.80224609375,6.320163744090125,2.827448015481687,0.025286197662353516,17.215322494506836
9,270.47024380633894,1000,0.9511101304657719,40.64223670959473,6.322258555342443,2.8542439824836903,0.012950420379638672,16.946386337280273
10,58.524604432928435,1000,0.946354579813443,44.199697494506836,6.337493165917695,2.8723202957233145,0.027404308319091797,16.3426513671875
11,-218.7685759869244,1000,0.9416228069143757,50.43116569519043,6.352215584334452,2.8360907561710778,0.027720928192138672,15.805561065673828
12,-94.402053010299,1000,0.9369146928798039,52.98471450805664,6.321517539778724,2.884136108549485,0.006292104721069336,16.056081771850586
13,232.1770206472668,1000,0.9322301194154049,39.10927963256836,6.382024485274218,2.9033769819801054,0.008102655410766602,17.671674728393555
14,-288.92260025386634,1000,0.9275689688183278,42.22336959838867,6.3984212535675615,2.923760799593134,0.039223432540893555,18.034252166748047
15,-12.993415219446057,1000,0.9229311239742362,45.709177017211914,6.448591844592244,2.970801302773796,0.0039556026458740234,16.42443084716797
16,-215.8749596659622,1000,0.918316468354365,34.825462341308594,6.451064748753794,2.961497677307067,0.0063076019287109375,17.991785049438477
17,298.38622005388333,1000,0.9137248860125932,35.31287384033203,6.388099286876619,2.8838915686777202,0.013083696365356445,16.740934371948242
18,-460.1896960842759,1000,0.9091562615825302,53.17239952087402,6.391980095501058,2.9438130493923547,0.013128519058227539,17.754154205322266
19,-8.352083174071753,1000,0.9046104802746175,45.111860275268555,6.361320149882697,2.9288267755771966,0.02490556240081787,18.41778564453125
20,381.34201715098965,1000,0.9000874278732445,38.7138786315918,6.354739657731726,2.8909196044536905,0.010166168212890625,16.737140655517578
21,288.04425498024915,1000,0.8955869907338783,47.68834686279297,6.35855484364368,2.885236207278681,0.010075092315673828,16.319198608398438
