Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
807,-103,4,0.01,0,0.0
808,-100,1,0.01,0,0.0
809,-100,1,0.01,0,0.0
810,-105,6,0.01,0,0.0
811,-100,1,0.01,0,0.0
812,-111,12,0.01,0,0.0
813,-100,1,0.01,0,0.0
814,-100,1,0.01,0,0.0
815,-108,9,0.01,0,0.0
816,-106,7,0.01,0,0.0
817,-103,4,0.01,0,0.0
818,-2,2,0.01,0,0.0
819,-119,20,0.01,0,0.0
820,-6,6,0.01,0,0.0
821,-104,5,0.01,0,0.0
822,-11,11,0.01,0,0.0
823,-114,15,0.01,0,0.0
824,-7,7,0.01,0,0.0
825,-31,31,0.01,0,0.0
826,-13,13,0.01,0,0.0
827,-112,13,0.01,0,0.0
828,-144,45,0.01,0,0.0
829,-14,14,0.01,0,0.0
830,-111,12,0.01,0,0.0
831,-10,10,0.01,0,0.0
832,-7,7,0.01,0,0.0
833,-108,9,0.01,0,0.0
834,-109,10,0.01,0,0.0
835,-123,24,0.01,0,0.0
836,-17,17,0.01,0,0.0
837,-7,7,0.01,0,0.0
838,-112,13,0.01,0,0.0
839,-14,14,0.01,0,0.0
840,-103,4,0.01,0,0.0
841,-100,1,0.01,0,0.0
842,-111,12,0.01,0,0.0
843,-7,7,0.01,0,0.0
844,-127,28,0.01,0,0.0
845,-104,5,0.01,0,0.0
846,-109,10,0.01,0,0.0
847,-9,9,0.01,0,0.0
848,-18,18,0.01,0,0.0
849,-109,10,0.01,0,0.0
850,-104,5,0.01,0,0.0
851,-7,7,0.01,0,0.0
852,-111,12,0.01,0,0.0
853,-127,28,0.01,0,0.0
854,-25,25,0.01,0,0.0
855,-7,7,0.01,0,0.0
856,-18,18,0.01,0,0.0
857,-5,5,0.01,0,0.0
858,-100,1,0.01,0,0.0
859,-124,25,0.01,0,0.0
860,-100,1,0.01,0,0.0
861,-16,16,0.01,0,0.0
862,-100,1,0.01,0,0.0
863,-105,6,0.01,0,0.0
864,-16,16,0.01,0,0.0
865,-100,1,0.01,0,0.0
866,-12,12,0.01,0,0.0
867,-100,1,0.01,0,0.0
868,-100,1,0.01,0,0.0
869,-19,19,0.01,0,0.0
870,-113,14,0.01,0,0.0
871,-112,13,0.01,0,0.0
872,-105,6,0.01,0,0.0
873,-3,3,0.01,0,0.0
874,-9,9,0.01,0,0.0
875,-100,1,0.01,0,0.0
876,-113,14,0.01,0,0.0
877,-16,16,0.01,0,0.0
878,-100,1,0.01,0,0.0
879,-110,11,0.01,0,0.0
880,-3,3,0.01,0,0.0
881,-144,45,0.01,0,0.0
882,-111,12,0.01,0,0.0
883,-1,1,0.01,0,0.0
884,-12,12,0.01,0,0.0
885,-1,1,0.01,0,0.0
886,-109,10,0.01,0,0.0
887,-10,10,0.01,0,0.0
888,-110,11,0.01,0,0.0
889,-110,11,0.01,0,0.0
890,-135,36,0.01,0,0.0
891,-108,9,0.01,0,0.0
892,-8,8,0.01,0,0.0
893,-100,1,0.01,0,0.0
894,-10,10,0.01,0,0.0
895,-100,1,0.01,0,0.0
896,-4,4,0.01,0,0.0
897,-6,6,0.01,0,0.0
898,-5,5,0.01,0,0.0
899,-110,11,0.01,0,0.0
900,-110,11,0.01,0,0.0
901,-108,9,0.01,0,0.0
902,-10,10,0.01,0,0.0
903,-107,8,0.01,0,0.0
904,-1,1,0.01,0,0.0
905,-113,14,0.01,0,0.0
906,-104,5,0.01,0,0.0
907,-106,7,0.01,0,0.0
908,-103,4,0.01,0,0.0
909,-118,19,0.01,0,0.0
910,-109,10,0.01,0,0.0
911,-7,7,0.01,0,0.0
912,-110,11,0.01,0,0.0
913,-13,13,0.01,0,0.0
914,-111,12,0.01,0,0.0
915,-100,1,0.01,0,0.0
916,-112,13,0.01,0,0.0
917,-110,11,0.01,0,0.0
918,-100,1,0.01,0,0.0
919,-103,4,0.01,0,0.0
920,-100,1,0.01,0,0.0
921,-112,13,0.01,0,0.0
922,-118,19,0.01,0,0.0
923,-112,13,0.01,0,0.0
924,-110,11,0.01,0,0.0
925,-145,46,0.01,0,0.0
926,-10,10,0.01,0,0.0
927,-107,8,0.01,0,0.0
928,-116,17,0.01,0,0.0
929,-12,12,0.01,0,0.0
930,-3,3,0.01,0,0.0
931,-112,13,0.01,0,0.0
932,-114,15,0.01,0,0.0
933,-108,9,0.01,0,0.0
934,-100,1,0.01,0,0.0
935,-100,1,0.01,0,0.0
936,-107,8,0.01,0,0.0
937,-110,11,0.01,0,0.0
938,-108,9,0.01,0,0.0
939,-109,10,0.01,0,0.0
940,-14,14,0.01,0,0.0
941,-107,8,0.01,0,0.0
942,-106,7,0.01,0,0.0
943,-103,4,0.01,0,0.0
944,-106,7,0.01,0,0.0
945,-106,7,0.01,0,0.0
946,-113,14,0.01,0,0.0
947,-100,1,0.01,0,0.0
948,-121,22,0.01,0,0.0
949,-110,11,0.01,0,0.0
950,-108,9,0.01,0,0.0
951,-105,6,0.01,0,0.0
952,-100,1,0.01,0,0.0
953,-117,18,0.01,0,0.0
954,-110,11,0.01,0,0.0
955,-105,6,0.01,0,0.0
956,-105,6,0.01,0,0.0
957,-103,4,0.01,0,0.0
958,-114,15,0.01,0,0.0
959,-107,8,0.01,0,0.0
960,-101,2,0.01,0,0.0
961,-111,12,0.01,0,0.0
962,-8,8,0.01,0,0.0
963,-103,4,0.01,0,0.0
964,-125,26,0.01,0,0.0
965,-100,1,0.01,0,0.0
966,-4,4,0.01,0,0.0
967,-106,7,0.01,0,0.0
968,-101,2,0.01,0,0.0
969,-109,10,0.01,0,0.0
970,-26,26,0.01,0,0.0
971,-110,11,0.01,0,0.0
972,-116,17,0.01,0,0.0
973,-104,5,0.01,0,0.0
974,-101,2,0.01,0,0.0
975,-146,47,0.01,0,0.0
976,-103,4,0.01,0,0.0
977,-106,7,0.01,0,0.0
978,-7,7,0.01,0,0.0
979,-122,23,0.01,0,0.0
980,-19,19,0.01,0,0.0
981,-112,13,0.01,0,0.0
982,-16,16,0.01,0,0.0
983,-145,46,0.01,0,0.0
984,-4,4,0.01,0,0.0
985,-105,6,0.01,0,0.0
986,-21,21,0.01,0,0.0
987,-5,5,0.01,0,0.0
988,-1,1,0.01,0,0.0
989,-115,16,0.01,0,0.0
990,-8,8,0.01,0,0.0
991,-107,8,0.01,0,0.0
992,-11,11,0.01,0,0.0
993,-102,3,0.01,0,0.0
994,-132,33,0.01,0,0.0
995,-100,1,0.01,0,0.0
996,-112,13,0.01,0,0.0
997,-108,9,0.01,0,0.0
998,-11,11,0.01,0,0.0
999,-109,10,0.01,0,0.0
1000,-113,14,0.01,0,0.0
