Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
182,-102,3,0.01,0,0.0
183,-104,5,0.01,0,0.0
184,-100,1,0.01,0,0.0
185,-106,7,0.01,0,0.0
186,-26,26,0.01,0,0.0
187,-100,1,0.01,0,0.0
188,-3,3,0.01,0,0.0
189,-108,9,0.01,0,0.0
190,-111,12,0.01,0,0.0
191,-106,7,0.01,0,0.0
192,-6,6,0.01,0,0.0
193,-105,6,0.01,0,0.0
194,-3,3,0.01,0,0.0
195,-100,1,0.01,0,0.0
196,-108,9,0.01,0,0.0
197,-100,1,0.01,0,0.0
198,-103,4,0.01,0,0.0
199,-118,19,0.01,0,0.0
200,-100,1,0.01,0,0.0
201,-111,12,0.01,0,0.0
202,-103,4,0.01,0,0.0
203,-8,8,0.01,0,0.0
204,-119,20,0.01,0,0.0
205,-6,6,0.01,0,0.0
206,-107,8,0.01,0,0.0
207,-8,8,0.01,0,0.0
208,-105,6,0.01,0,0.0
209,-104,5,0.01,0,0.0
210,-107,8,0.01,0,0.0
211,-9,9,0.01,0,0.0
212,-116,17,0.01,0,0.0
213,-113,14,0.01,0,0.0
214,-7,7,0.01,0,0.0
215,-104,5,0.01,0,0.0
216,-114,15,0.01,0,0.0
217,-118,19,0.01,0,0.0
218,-110,11,0.01,0,0.0
219,-1,1,0.01,0,0.0
220,-105,6,0.01,0,0.0
221,-105,6,0.01,0,0.0
222,-9,9,0.01,0,0.0
223,-1,1,0.01,0,0.0
224,-118,19,0.01,0,0.0
225,-112,13,0.01,0,0.0
226,-104,5,0.01,0,0.0
227,-111,12,0.01,0,0.0
228,-101,2,0.01,0,0.0
229,-107,8,0.01,0,0.0
230,-100,1,0.01,0,0.0
231,-130,31,0.01,0,0.0
232,-105,6,0.01,0,0.0
233,-1,1,0.01,0,0.0
234,-107,8,0.01,0,0.0
235,-104,5,0.01,0,0.0
236,-141,42,0.01,0,0.0
237,-111,12,0.01,0,0.0
238,-106,7,0.01,0,0.0
239,-5,5,0.01,0,0.0
240,-44,44,0.01,0,0.0
241,-111,12,0.01,0,0.0
242,-103,4,0.01,0,0.0
243,-108,9,0.01,0,0.0
244,-5,5,0.01,0,0.0
245,-5,5,0.01,0,0.0
246,-111,12,0.01,0,0.0
247,-107,8,0.01,0,0.0
248,-6,6,0.01,0,0.0
249,-5,5,0.01,0,0.0
250,-112,13,0.01,0,0.0
251,-119,20,0.01,0,0.0
252,-114,15,0.01,0,0.0
253,-103,4,0.01,0,0.0
254,-105,6,0.01,0,0.0
255,-110,11,0.01,0,0.0
256,-38,38,0.01,0,0.0
257,-106,7,0.01,0,0.0
258,-3,3,0.01,0,0.0
259,-113,14,0.01,0,0.0
260,-107,8,0.01,0,0.0
261,-13,13,0.01,0,0.0
262,-6,6,0.01,0,0.0
263,-1,1,0.01,0,0.0
264,-100,1,0.01,0,0.0
265,-100,1,0.01,0,0.0
266,-105,6,0.01,0,0.0
267,-12,12,0.01,0,0.0
268,-105,6,0.01,0,0.0
269,-9,9,0.01,0,0.0
270,-116,17,0.01,0,0.0
271,-117,18,0.01,0,0.0
272,-101,2,0.01,0,0.0
273,-13,13,0.01,0,0.0
274,-112,13,0.01,0,0.0
275,-103,4,0.01,0,0.0
276,-101,2,0.01,0,0.0
277,-112,13,0.01,0,0.0
278,-107,8,0.01,0,0.0
279,-106,7,0.01,0,0.0
280,-105,6,0.01,0,0.0
281,-107,8,0.01,0,0.0
282,-107,8,0.01,0,0.0
283,-103,4,0.01,0,0.0
284,-1,1,0.01,0,0.0
285,-108,9,0.01,0,0.0
286,-100,1,0.01,0,0.0
287,-1,1,0.01,0,0.0
288,-16,16,0.01,0,0.0
289,-100,1,0.01,0,0.0
290,-114,15,0.01,0,0.0
291,-121,22,0.01,0,0.0
292,-13,13,0.01,0,0.0
293,-106,7,0.01,0,0.0
294,-120,21,0.01,0,0.0
295,-120,21,0.01,0,0.0
296,-111,12,0.01,0,0.0
297,-104,5,0.01,0,0.0
298,-110,11,0.01,0,0.0
299,-100,1,0.01,0,0.0
300,-108,9,0.01,0,0.0
301,-100,1,0.01,0,0.0
302,-7,7,0.01,0,0.0
303,-144,45,0.01,0,0.0
304,-107,8,0.01,0,0.0
305,-112,13,0.01,0,0.0
306,-3,3,0.01,0,0.0
307,-107,8,0.01,0,0.0
308,-109,10,0.01,0,0.0
309,-111,12,0.01,0,0.0
310,-115,16,0.01,0,0.0
311,-12,12,0.01,0,0.0
312,-115,16,0.01,0,0.0
313,-117,18,0.01,0,0.0
314,-104,5,0.01,0,0.0
315,-114,15,0.01,0,0.0
316,-104,5,0.01,0,0.0
317,-107,8,0.01,0,0.0
318,-100,1,0.01,0,0.0
319,-4,4,0.01,0,0.0
320,-10,10,0.01,0,0.0
321,-106,7,0.01,0,0.0
322,-100,1,0.01,0,0.0
323,-5,5,0.01,0,0.0
324,-103,4,0.01,0,0.0
325,-11,11,0.01,0,0.0
326,-107,8,0.01,0,0.0
327,-104,5,0.01,0,0.0
328,-114,15,0.01,0,0.0
329,-105,6,0.01,0,0.0
330,-3,3,0.01,0,0.0
331,-108,9,0.01,0,0.0
332,-114,15,0.01,0,0.0
333,-107,8,0.01,0,0.0
334,-100,1,0.01,0,0.0
335,-108,9,0.01,0,0.0
336,-114,15,0.01,0,0.0
337,-108,9,0.01,0,0.0
338,-107,8,0.01,0,0.0
339,-9,9,0.01,0,0.0
340,-106,7,0.01,0,0.0
341,-100,1,0.01,0,0.0
342,-111,12,0.01,0,0.0
343,-111,12,0.01,0,0.0
344,-105,6,0.01,0,0.0
345,-119,20,0.01,0,0.0
346,-130,31,0.01,0,0.0
347,-104,5,0.01,0,0.0
348,-100,1,0.01,0,0.0
349,-105,6,0.01,0,0.0
350,-105,6,0.01,0,0.0
351,-100,1,0.01,0,0.0
352,-105,6,0.01,0,0.0
353,-3,3,0.01,0,0.0
354,-100,1,0.01,0,0.0
355,-108,9,0.01,0,0.0
356,-16,16,0.01,0,0.0
357,-100,1,0.01,0,0.0
358,-100,1,0.01,0,0.0
359,-113,14,0.01,0,0.0
360,-118,19,0.01,0,0.0
361,-13,13,0.01,0,0.0
362,-9,9,0.01,0,0.0
363,-105,6,0.01,0,0.0
364,-5,5,0.01,0,0.0
365,-105,6,0.01,0,0.0
366,-113,14,0.01,0,0.0
367,-100,1,0.01,0,0.0
368,-13,13,0.01,0,0.0
369,-5,5,0.01,0,0.0
370,-107,8,0.01,0,0.0
371,-100,1,0.01,0,0.0
372,-111,12,0.01,0,0.0
373,-114,15,0.01,0,0.0
374,-108,9,0.01,0,0.0
375,-100,1,0.01,0,0.0
376,-104,5,0.01,0,0.0
377,-9,9,0.01,0,0.0
378,-108,9,0.01,0,0.0
379,-3,3,0.01,0,0.0
380,-4,4,0.01,0,0.0
381,-112,13,0.01,0,0.0
382,-111,12,0.01,0,0.0
383,-1,1,0.01,0,0.0
384,-11,11,0.01,0,0.0
385,-101,2,0.01,0,0.0
386,-113,14,0.01,0,0.0
387,-19,19,0.01,0,0.0
388,-110,11,0.01,0,0.0
389,-108,9,0.01,0,0.0
390,-4,4,0.01,0,0.0
391,-116,17,0.01,0,0.0
392,-125,26,0.01,0,0.0
393,-108,9,0.01,0,0.0
394,-105,6,0.01,0,0.0
395,-107,8,0.01,0,0.0
396,-108,9,0.01,0,0.0
397,-107,8,0.01,0,0.0
398,-103,4,0.01,0,0.0
399,-105,6,0.01,0,0.0
400,-108,9,0.01,0,0.0
401,-112,13,0.01,0,0.0
402,-109,10,0.01,0,0.0
403,-107,8,0.01,0,0.0
404,-106,7,0.01,0,0.0
405,-103,4,0.01,0,0.0
406,-107,8,0.01,0,0.0
407,-110,11,0.01,0,0.0
408,-107,8,0.01,0,0.0
409,-13,13,0.01,0,0.0
410,-100,1,0.01,0,0.0
411,-110,11,0.01,0,0.0
412,-11,11,0.01,0,0.0
413,-28,28,0.01,0,0.0
414,-100,1,0.01,0,0.0
415,-111,12,0.01,0,0.0
416,-107,8,0.01,0,0.0
417,-103,4,0.01,0,0.0
418,-107,8,0.01,0,0.0
419,-103,4,0.01,0,0.0
420,-108,9,0.01,0,0.0
421,-118,19,0.01,0,0.0
422,-114,15,0.01,0,0.0
