episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
44,ChandniChowk,-1377217246#4,-1079742369#2,1,117.0,27,873.99,-48533140,117,True,straight_line,31,17,0.0,873.99,27,46
45,ChandniChowk,-169826228#4,293420644,1,117.0,28,944.4800000000001,-48533140,117,True,straight_line,45,25,0.0,944.4800000000001,28,68
46,ChandniChowk,48533130,-82946112,1,117.0,24,669.2800000000001,-48533140,117,True,straight_line,61,35,0.0,669.2800000000001,24,96
47,ChandniChowk,-1184991409#1,-798632020,1,117.0,25,1230.75,-48533140,117,True,straight_line,59,27,0.0,1230.75,25,84
48,ChandniChowk,991702391#1,1362943969#0,1,117.0,37,1198.76,-48533140,117,True,straight_line,53,31,0.0,1198.76,37,82
49,ChandniChowk,82946096#0,720102664#0,1,117.0,21,893.7000000000002,-48533140,117,True,straight_line,91,25,0.0,893.7000000000002,21,114
50,ChandniChowk,-1069870998,44141502#4,1,117.0,38,1696.21,-48533140,117,True,straight_line,106,44,0.0,1696.21,38,149
51,ChandniChowk,423608337#1,1364873700#1,1,117.0,18,993.0,-48533140,117,True,straight_line,55,26,0.0,993.0,18,79
52,ChandniChowk,-44611072#1,320348688,1,117.0,17,801.84,-48533140,117,True,straight_line,62,17,0.0,801.84,17,76
53,ChandniChowk,-170062861,-82946148#4,1,117.0,28,859.5600000000002,-48533140,117,True,straight_line,59,29,0.0,859.5600000000002,28,86
54,ChandniChowk,1070560846,80940712,1,117.0,9,298.33,-48533140,117,True,straight_line,13,10,0.0,298.33,9,21
55,ChandniChowk,744801990,-44610966,1,117.0,18,724.39,-48533140,117,True,straight_line,42,20,0.0,724.39,18,60
56,ChandniChowk,1128268559,-320348692,1,117.0,41,1318.8099999999997,-48533140,117,True,straight_line,155,28,0.0,1318.8099999999997,41,181
57,ChandniChowk,77617256#1,744801990,1,117.0,19,973.92,-48533140,117,True,straight_line,29,10,0.0,973.92,19,37
58,ChandniChowk,-48533128#2,320348678#4,1,117.0,31,1473.2200000000003,-48533140,117,True,straight_line,218,41,0.0,1473.2200000000003,31,255
59,ChandniChowk,264615171#3,-267447983#2,1,117.0,38,1737.6000000000001,-48533140,117,True,straight_line,128,55,0.0,1737.6000000000001,38,181
