episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
0,Safdarjung,292023764#4,-1122281742,1,144.0,28,1188.5800000000002,-1239066197,145,False,28,28,4,
1,Safdarjung,-292025840#1,-292024880#1,1,189.0,23,1521.73,292024880#1,190,False,23,23,4,
2,Safdarjung,292027015#1,292024872#5,1,144.0,17,1070.8999999999999,-235103533#3,145,False,17,17,4,
3,Safdarjung,605695087#12,-1246781006#0,1,177.0,29,2233.4300000000003,1246781006#0,178,False,29,29,4,
4,Safdarjung,-776771535#1,-1184126822#1,1,40.0,11,305.59999999999997,1184126822#1,41,False,11,11,3,
5,Safdarjung,-1120528080,-292024662#4,1,95.0,16,682.4200000000002,-292024662#5,96,False,16,16,4,
6,Safdarjung,292023824,1306331919,1,73.0,15,587.24,-1185237194#2,74,False,15,15,4,
7,Safdarjung,-292024704#0,189304970#3,1,999.0,45,2135.1900000000005,1185227772,1000,False,57,33,4,
8,Safdarjung,423755579#6,-1080512081#1,1,999.0,38,1251.41,1306324995,1000,False,41,35,4,
9,Safdarjung,423755579#0-AddedOffRampEdge,292025078#2,1,535.0,38,2092.44,-292025078#2,536,False,40,36,4,
10,Safdarjung,-44680205#10,-291877903#1,1,480.0,40,1462.6599999999999,291877903#1,481,False,41,39,4,
11,Safdarjung,686651418#0,-46108373#3,1,87.0,18,583.85,46108373#3,88,False,18,18,3,
12,Safdarjung,-1246778611,-1307402759,1,261.0,29,1955.0599999999995,1076248780,262,False,29,29,3,
13,Safdarjung,46108373#9,28616709#4,1,506.0,31,1121.13,28616709#3,507,False,32,30,4,
14,Safdarjung,423755579#1,292027010#4,1,999.0,44,2211.789999999999,291868047#0,1000,False,48,40,4,
15,Safdarjung,1246774345,773571761#1,1,492.0,32,1702.28,773571761#0,493,False,34,30,4,
16,Safdarjung,44680205#7,291877904#2,1,796.0,45,1618.55,-1185237194#0,797,False,47,43,4,
17,Safdarjung,46108379#9,164802174#6,1,395.0,18,814.7400000000001,164802167#7,396,False,19,17,4,
18,Safdarjung,292025080,-1185231632,1,84.0,11,955.4099999999999,:1764159479_7,85,False,11,11,3,
19,Safdarjung,-292024872#5,-292027394#1,1,276.0,29,1440.82,-1136372533,277,False,29,29,4,
20,Safdarjung,-1239030821#0,-292025078#2,1,107.0,20,1471.46,-292025078#3,108,False,20,20,4,
21,Safdarjung,-1306324405,-292027344,1,407.0,15,566.35,-292027022#2,408,False,16,14,4,
