episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,CP2,24584377#4,-1076782195#0,1,347.0,74,3412.03,1076782194#0,347,True,straight_line,591,98,0.0,3412.03,74,686
1,CP2,-577982260#5,-38235041#6,1,211.0,57,2239.789999999999,-154090267#0,211,True,straight_line,167,32,0.0,2239.789999999999,57,196
2,CP2,44263457#1,293153163#0,1,84.0,22,936.7900000000001,:1666858658_18,84,True,straight_line,59,19,0.0,936.7900000000001,22,77
3,CP2,714986188#2,-1354558617,1,156.0,35,1894.0000000000002,:6720393131_0,156,True,straight_line,47,18,0.0,1894.0000000000002,35,63
4,CP2,1122215529#0,-1121139432#1,1,165.0,55,2360.6400000000003,1121139432#1,165,True,straight_line,167,44,0.0,2360.6400000000003,55,209
5,CP2,-319329101#6,142865883#1,1,324.0,57,2444.2900000000013,:10255323283_0,324,True,straight_line,153,42,0.0,2444.2900000000013,57,197
6,CP2,-1076782195#1,-293153159#0,1,257.0,48,2635.9300000000003,293153145#0,257,True,straight_line,356,36,0.0,2635.9300000000003,48,390
7,CP2,24584385#2,24577096#0,1,76.0,30,914.3999999999999,447141132#4,76,True,straight_line,40,10,0.0,914.3999999999999,30,48
8,CP2,-343654534#2,24583332#9,1,160.0,37,1502.2800000000002,24583332#8,160,True,straight_line,170,30,0.0,1502.2800000000002,37,199
9,CP2,579781481#10,-1072914441,1,141.0,37,1613.11,-1072914440#1,141,True,straight_line,113,33,0.0,1613.11,37,144
10,CP2,578543603#0,370672194#4,1,93.0,44,1391.64,370672194#3,93,True,straight_line,117,32,0.0,1391.64,44,147
11,CP2,-80418095#5,-24583590#3,1,280.0,67,2345.41,-577982260#6,280,True,straight_line,209,47,0.0,2345.41,67,254
12,CP2,80926788#1,-83675250#2,1,127.0,26,1120.8400000000001,-38235349#0,127,True,straight_line,46,18,0.0,1120.8400000000001,26,62
13,CP2,-1292286060#0,-154090267#2,1,117.0,40,1658.1100000000006,-154090267#3,117,True,straight_line,95,28,0.0,1658.1100000000006,40,123
14,CP2,656933877#5,24583489#13,1,208.0,81,2319.0300000000007,-24583489#13,208,True,straight_line,395,47,0.0,2319.0300000000007,81,441
15,CP2,578543603#4,423618440#0,1,205.0,60,2625.119999999999,-423618440#0,205,True,straight_line,208,43,0.0,2625.119999999999,60,250
16,CP2,23133600#1,996679779#0,1,120.0,26,977.1500000000003,:267250994_1,120,True,straight_line,36,13,0.0,977.1500000000003,26,47
17,CP2,1072914437#0,24577118#2,1,221.0,72,2928.4,24577118#1,221,True,straight_line,708,79,0.0,2928.4,72,786
18,CP2,611866602#4,24583592#4,1,58.0,16,670.7300000000001,24583592#3,58,True,straight_line,45,21,0.0,670.7300000000001,16,64
19,CP2,686771927#1,24583327#0,1,177.0,61,2775.74,447141148,177,True,straight_line,291,52,0.0,2775.74,61,339
20,CP2,370672197#6,-1122220358#0,1,234.0,87,2823.010000000001,:10264290718_4,234,True,straight_line,388,34,0.0,2823.010000000001,87,422
21,CP2,-370672197#4,-700293875#0,1,105.0,39,1074.16,-74851423#6,105,True,straight_line,45,22,0.0,1074.16,39,65
22,CP2,-1216791011#2,-391534135#5,1,151.0,44,2052.6300000000006,-391534135#6,151,True,straight_line,244,43,0.0,2052.6300000000006,44,285
23,CP2,-1386084973,-686696454#2,1,161.0,37,1421.9699999999998,-24584392#2,161,True,straight_line,113,37,0.0,1421.9699999999998,37,148
24,CP2,24584375#10,1067100260#1,1,197.0,59,2147.400000000001,:9798119674_1,197,True,straight_line,86,40,0.0,2147.400000000001,59,124
25,CP2,1000448884#3,-360250362#0,1,173.0,51,1853.96,-360250362#1,173,True,straight_line,153,31,0.0,1853.96,51,182
26,CP2,-561672577#0,80418094#0,1,178.0,38,2156.66,-80418094#0,178,True,straight_line,287,28,0.0,2156.66,38,313
27,CP2,24584384#0,24583495#11,1,148.0,39,1399.2900000000002,:5682466820_2,148,True,straight_line,134,27,0.0,1399.2900000000002,39,157
28,CP2,-24583593#6,423618433#2,1,292.0,91,3292.909999999998,1072922044#1,292,True,straight_line,684,85,0.0,3292.909999999998,91,762
29,CP2,-24583584#6,1074774613,1,186.0,47,1683.5100000000002,103176793#0,186,True,straight_line,194,42,0.0,1683.5100000000002,47,234
30,CP2,998790355#0,24584378#4,1,201.0,65,2231.3300000000004,24584378#3,201,True,straight_line,322,35,0.0,2231.3300000000004,65,354
31,CP2,656933868,563679821#2,1,145.0,49,1575.9000000000003,563679821#1,145,True,straight_line,152,36,0.0,1575.9000000000003,49,186
32,CP2,-370765175#1,-1121142415,1,95.0,34,946.3,-1121142413#3,95,True,straight_line,169,23,0.0,946.3,34,190
33,CP2,-717454375#1,-612734122,1,167.0,45,2116.97,612734122,167,True,straight_line,152,34,0.0,2116.97,45,186
34,CP2,-293153159#3,80418131#2,1,280.0,35,1864.5200000000002,-80418131#2,280,True,straight_line,144,25,0.0,1864.5200000000002,35,167
35,CP2,700293877#1,-750482273#1,1,163.0,35,2008.6499999999999,-750482273#2,163,True,straight_line,339,32,0.0,2008.6499999999999,35,372
36,CP2,253307767#2,1119548738#1,1,112.0,37,1137.7700000000002,1119548738#0,112,True,straight_line,62,15,0.0,1137.7700000000002,37,75
37,CP2,74851423#8,123406184#0,1,345.0,74,2672.4399999999996,:9179109985_4,345,True,straight_line,340,41,0.0,2672.4399999999996,74,379
38,CP2,-553590478#2,-44263461#6,1,172.0,59,1913.8600000000006,44263461#6,172,True,straight_line,97,29,0.0,1913.8600000000006,59,124
39,CP2,24577361#9,-577982260#2,1,83.0,21,1020.24,-577982260#3,83,True,straight_line,60,13,0.0,1020.24,21,71
40,CP2,24583330#2,717454379#4,1,189.0,44,2312.6199999999994,717454379#3,189,True,straight_line,280,46,0.0,2312.6199999999994,44,324
41,CP2,998790358#4,154356516#0,1,144.0,50,2226.91,-38699586#1,144,True,straight_line,596,40,0.0,2226.91,50,626
42,CP2,-1277942000#5,-1122228221,1,132.0,83,1767.7500000000011,24583337#10,132,True,straight_line,116,31,0.0,1767.7500000000011,83,145
43,CP2,-154356520#1,24584373#0,1,240.0,43,2918.43,-24584373#0,240,True,straight_line,203,27,0.0,2918.43,43,220
44,CP2,563974735#10,1122230049#1,1,95.0,26,1268.15,-1122230050,95,True,straight_line,95,21,0.0,1268.15,26,114
45,CP2,-1144624113#3,1075734524#1,1,148.0,36,1925.7099999999998,:9865678548_2,148,True,straight_line,142,21,0.0,1925.7099999999998,36,159
46,CP2,998790358#17,169081335#1,1,252.0,83,2908.7899999999977,169081335#0,252,True,straight_line,474,64,0.0,2908.7899999999977,83,536
