episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth
62,ChandniChowk,-1070560848#5,798855529#3,1,108.0,15,582.0400000000001,-48533140,108,True,183,15
63,ChandniChowk,755068998#0,681792944#2,1,108.0,22,707.36,-48533140,108,True,338,22
64,ChandniChowk,-48533136#1,-1184991409#1,1,108.0,17,242.28,-48533140,108,True,96,17
65,ChandniChowk,755068997,80940711#1,1,108.0,24,927.3800000000001,-48533140,108,True,434,24
66,ChandniChowk,-1377215179#0,1079742367#0,1,108.0,15,591.8100000000001,-48533140,108,True,145,15
67,ChandniChowk,-1186764830,44830361#3,1,108.0,7,757.9399999999999,-48533140,108,True,247,7
68,ChandniChowk,44923693#3,-264592548#21,1,108.0,4,205.53,-48533140,108,True,20,4
69,ChandniChowk,1076314748,169826205#3,1,108.0,17,701.08,-48533140,108,True,270,17
70,ChandniChowk,-44610937#2,755068996,1,108.0,14,636.22,-48533140,108,True,114,14
71,ChandniChowk,-82946100#0,-423608341,1,108.0,6,265.18,-48533140,108,True,57,6
72,ChandniChowk,1377217246#1,44141522#3,1,108.0,25,1068.32,-48533140,108,True,482,25
73,ChandniChowk,-320348721#3,-48533153#3,1,108.0,43,1820.15,-48533140,108,True,529,43
74,ChandniChowk,991702391#0,320348713#1,1,108.0,15,927.5699999999999,-48533140,108,True,339,15
75,ChandniChowk,-82946148#0,127661012#10,1,108.0,32,1234.63,-48533140,108,True,536,32
76,ChandniChowk,-260320118,-44141299#1,1,108.0,20,617.68,-48533140,108,True,281,20
77,ChandniChowk,-693912719#6,264592551#0,1,108.0,37,1088.2400000000002,-48533140,108,True,380,37
78,ChandniChowk,-44141299#4,-44141146#6,1,108.0,11,237.04999999999995,-48533140,108,True,58,11
79,ChandniChowk,-127661018#0,293420649#1,1,108.0,21,1117.7399999999998,-48533140,108,True,367,21
80,ChandniChowk,-44141299#2,77617205#7,1,108.0,9,549.3299999999999,-48533140,108,True,179,9
81,ChandniChowk,696306282#0,-1364873685#0,1,108.0,23,611.0300000000001,-48533140,108,True,170,23
82,ChandniChowk,-44141435#5,320348726#0,1,108.0,8,666.8,-48533140,108,True,165,8
83,ChandniChowk,-423608341,-264592548#8,1,108.0,28,746.3100000000001,-48533140,108,True,341,28
84,ChandniChowk,80940694#0,253134120#2,1,108.0,21,898.3900000000001,-48533140,108,True,374,21
85,ChandniChowk,1076266783#0,48533127#0,1,108.0,29,1018.7300000000004,-48533140,108,True,277,29
86,ChandniChowk,48533153#4,-320348717#10,1,108.0,27,964.5199999999999,-48533140,108,True,309,27
87,ChandniChowk,-169826205#3,-82946139#1,1,108.0,37,1146.69,-48533140,108,True,296,37
88,ChandniChowk,-82946100#1,1076057774,1,108.0,26,1446.79,-48533140,108,True,580,26
89,ChandniChowk,44141517#2,360271994#0,1,108.0,24,1006.08,-48533140,108,True,359,24
90,ChandniChowk,82946119#4,-169826220#0,1,108.0,15,876.71,-48533140,108,True,450,15
91,ChandniChowk,-798855531#2,-693912721#0,1,108.0,15,531.8299999999999,-48533140,108,True,205,15
92,ChandniChowk,696306283#1,-44141545#10,1,108.0,12,368.0700000000001,-48533140,108,True,75,12
93,ChandniChowk,-320348716#1,1070560845#0,1,108.0,13,889.73,-48533140,108,True,164,13
94,ChandniChowk,-82946096#3,-48532953#1,1,108.0,36,761.5100000000002,-48533140,108,True,356,36
95,ChandniChowk,-44141529#1,798855524#2,1,108.0,20,906.51,-48533140,108,True,329,20
96,ChandniChowk,1041351325,720102664#1,1,108.0,43,1465.3500000000001,-48533140,108,True,528,43
97,ChandniChowk,169826205#4,-1080170955,1,108.0,6,507.24999999999994,-48533140,108,True,64,6
98,ChandniChowk,991702391#6,693912717#0,1,108.0,13,633.58,-48533140,108,True,124,13
