episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
0,Safdarjung,292023764#4,-1122281742,1,144.0,28,1188.5800000000002,-1239066197,145,False,28,28,4,
1,Safdarjung,-292025840#1,-292024880#1,1,144.0,23,1521.73,-1239066197,145,False,23,23,4,
2,Safdarjung,292027015#1,292024872#5,1,144.0,17,1070.8999999999999,-1239066197,145,False,17,17,4,
3,Safdarjung,605695087#12,-1246781006#0,1,144.0,29,2233.4300000000003,-1239066197,145,False,29,29,4,
4,Safdarjung,-776771535#1,-1184126822#1,1,144.0,11,305.59999999999997,-1239066197,145,False,11,11,3,
5,Safdarjung,-1120528080,-292024662#4,1,144.0,16,682.4200000000002,-1239066197,145,False,16,16,4,
6,Safdarjung,292023824,1306331919,1,144.0,15,587.24,-1239066197,145,False,15,15,4,
7,Safdarjung,-292024704#0,189304970#3,1,144.0,45,2135.1900000000005,-1239066197,145,False,57,33,4,
8,Safdarjung,423755579#6,-1080512081#1,1,144.0,38,1251.41,-1239066197,145,False,41,35,4,
9,Safdarjung,423755579#0-AddedOffRampEdge,292025078#2,1,144.0,38,2092.44,-1239066197,145,False,40,36,4,
10,Safdarjung,-44680205#10,-291877903#1,1,144.0,40,1462.6599999999999,-1239066197,145,False,41,39,4,
11,Safdarjung,686651418#0,-46108373#3,1,144.0,18,583.85,-1239066197,145,False,18,18,3,
12,Safdarjung,-1246778611,-1307402759,1,144.0,29,1955.0599999999995,-1239066197,145,False,29,29,3,
13,Safdarjung,46108373#9,28616709#4,1,144.0,31,1121.13,-1239066197,145,False,32,30,4,
14,Safdarjung,423755579#1,292027010#4,1,144.0,44,2211.789999999999,-1239066197,145,False,48,40,4,
15,Safdarjung,1246774345,773571761#1,1,144.0,32,1702.28,-1239066197,145,False,34,30,4,
16,Safdarjung,44680205#7,291877904#2,1,144.0,45,1618.55,-1239066197,145,False,47,43,4,
17,Safdarjung,46108379#9,164802174#6,1,144.0,18,814.7400000000001,-1239066197,145,False,19,17,4,
18,Safdarjung,292025080,-1185231632,1,144.0,11,955.4099999999999,-1239066197,145,False,11,11,3,
19,Safdarjung,-292024872#5,-292027394#1,1,144.0,29,1440.82,-1239066197,145,False,29,29,4,
20,Safdarjung,-1239030821#0,-292025078#2,1,144.0,20,1471.46,-1239066197,145,False,20,20,4,
21,Safdarjung,-1306324405,-292027344,1,144.0,15,566.35,-1239066197,145,False,16,14,4,
22,Safdarjung,292023622,-682844000#0,1,144.0,40,1486.9700000000003,-1239066197,145,False,43,37,4,
23,Safdarjung,-46108379#10,-292024872#0,1,144.0,48,2141.0800000000004,-1239066197,145,False,60,36,3,
24,Safdarjung,-292025667#1,684948940#0,1,144.0,124,8406.580000000002,-1239066197,145,False,210,38,4,
25,Safdarjung,292023821#0,291868047#1,1,144.0,2,20.0,-1239066197,145,False,2,2,3,
