episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
41,ChandniChowk,264592548#18,77617199#1,1,856.0,31,1605.31,77617199#1,856,True,Euclidean,786,53,1462.03,1462.03,49,31
42,ChandniChowk,-798855529#3,-44141146#4,1,444.0,9,223.7,-44141146#4,444,True,Euclidean,71,16,188.32,188.32,14,9
43,ChandniChowk,991702391#3,1184991409#0,1,460.0,7,299.19,1184991409#0,460,True,Euclidean,39,21,256.24,256.24,8,7
44,ChandniChowk,-1377217246#4,-1079742369#2,1,536.0,26,888.6900000000002,-1079742369#2,536,True,Euclidean,443,53,888.4900000000001,888.4900000000001,34,26
45,ChandniChowk,-169826228#4,293420644,1,572.0,31,1159.8100000000002,293420644,572,True,Euclidean,383,42,1137.5300000000002,1137.5300000000002,39,31
46,ChandniChowk,48533130,-82946112,1,906.0,25,834.1400000000001,-82946112,906,True,Euclidean,379,46,714.8600000000001,714.8600000000001,32,25
47,ChandniChowk,-1184991409#1,-798632020,1,620.0,28,1301.58,-798632020,620,True,Euclidean,771,53,1272.8,1272.8,46,28
48,ChandniChowk,991702391#1,1362943969#0,1,928.0,38,1210.15,1362943969#0,928,True,Euclidean,712,53,1189.39,1189.39,48,38
49,ChandniChowk,82946096#0,720102664#0,1,1000.0,25,739.9500000000002,-720102663#0,1000,False,Euclidean,501,53,717.9900000000001,717.9900000000001,31,25
50,ChandniChowk,-1069870998,44141502#4,1,629.0,41,1679.5399999999997,44141502#4,629,True,Euclidean,728,50,1635.7999999999997,1635.7999999999997,53,41
51,ChandniChowk,423608337#1,1364873700#1,1,923.0,19,1217.72,1364873700#1,923,True,Euclidean,328,37,1196.78,1196.78,30,19
52,ChandniChowk,-44611072#1,320348688,1,603.0,20,1027.98,320348688,603,True,Euclidean,247,38,979.72,979.72,24,20
53,ChandniChowk,-170062861,-82946148#4,1,936.0,25,768.8000000000001,-82946148#4,936,True,Euclidean,422,60,766.96,766.96,31,25
