Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
1,-108,9,1.0,0.0,0.0
2,-127,28,0.9704,0.0,0.0
3,-100,1,0.9655,0.0,0.0
4,-8,8,0.9276,0.0,0.0
5,-103,4,0.9092,0.0,0.0
6,-12,12,0.8561,0.0,0.0
7,-7,7,0.8266,0.0,0.0
8,-7,7,0.7981,0.0,0.0
9,-102,3,0.7862,0.0,0.0
10,-107,8,0.7553,0.0,0.0
