Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
1,-5,1,1.0,0,0
2,-14,10,1.0,0,0
3,-17,13,1.0,0,0
4,-17,13,0.9704,0,0
5,-27,23,0.8647,0,0
