episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
62,Safdarjung,579272357#1,686638461#0,1,55.0,11,620.11,686638462#1,55,True,11,11,3,
63,Safdarjung,-1239066197,1185258350,1,1000.0,34,1467.0000000000005,292024649#1,1000,False,45,23,4,
64,Safdarjung,-1211234342#0,292027394#2,1,269.0,36,1754.8200000000002,-1136372533,269,True,36,36,4,
65,Safdarjung,1184582302,1307402759,1,1000.0,112,5501.379999999998,292025707#1,1000,False,124,100,4,
66,Safdarjung,-292025665,567831194#3,1,109.0,17,1334.2900000000002,567831194#2,109,True,17,17,4,
67,Safdarjung,-776773435,-292024872#3,1,1000.0,29,1595.6299999999999,1306335975,1000,False,40,18,4,
68,Safdarjung,1246774349,292027010#4,1,735.0,29,978.0900000000003,:2955396557_7,735,True,31,27,4,
69,Safdarjung,-292024648#0,-44680203#12,1,108.0,17,1202.58,44680204#1,108,True,17,17,4,
70,Safdarjung,994832896,292024648#0,1,119.0,25,1033.3300000000002,-292024648#0,119,True,25,25,4,
71,Safdarjung,1076248781#1,1239051719,1,55.0,13,632.23,292024648#4,55,True,13,13,3,
72,Safdarjung,-164802157#5,-292024882#0,1,191.0,27,1780.9,292024882#0,191,True,27,27,4,
73,Safdarjung,-44680203#9,189304970#2,1,28.0,7,239.14,189304970#1,28,True,7,7,4,
74,Safdarjung,-292024873#1,-292024876#2,1,8.0,3,48.010000000000005,292024876#2,8,True,3,3,3,
75,Safdarjung,-1211234343,292023764#3,1,159.0,22,1068.1,-292023819,159,True,22,22,4,
76,Safdarjung,-292024872#6,605696842#1,1,562.0,35,1751.75,686678115#3,562,True,36,34,4,
77,Safdarjung,46108379#5,-1237997084,1,176.0,28,1742.0300000000002,-292025076#2,176,True,28,28,4,
78,Safdarjung,-292024877#1,292024704#0,1,160.0,18,1520.59,292024663#2,160,True,18,18,4,
79,Safdarjung,-292024663#0,-189304970#3,1,1000.0,134,8506.59,1185227772,1000,False,236,32,4,
80,Safdarjung,1184126821,36326989#0,1,12.0,3,128.65,-36326989#0,12,True,3,3,3,
81,Safdarjung,423755579#3,-292024648#4,1,93.0,26,1161.69,292024648#4,93,True,26,26,3,
82,Safdarjung,-1246781006#0,111218029#1,1,1000.0,28,1897.39,:2955379357_7,1000,False,33,23,4,
